temp,pressure,vibration,is_anomaly
67.4,29.4,0.343,0
62.3,32.1,0.492,0
63.6,27.0,0.549,0
68.4,28.0,0.52,0
68.9,31.1,0.316,0
67.8,27.4,0.665,0
76.3,32.1,0.408,0
60.1,28.5,0.674,0
97.6,52.9,0.756,1
67.4,24.7,0.533,0
77.2,31.6,0.611,0
76.7,33.9,0.591,0
73.0,32.0,0.512,0
65.0,31.5,0.356,0
68.8,32.5,0.546,0
76.6,34.7,0.547,0
69.5,26.7,0.461,0
100.5,40.7,1.425,1
62.0,36.4,0.474,0
73.5,28.6,0.406,0
59.0,29.0,0.5,0
76.1,27.3,0.433,0
67.8,29.0,0.459,0
65.4,33.1,0.373,0
72.2,29.9,0.4,0
62.9,29.2,0.514,0
66.2,31.5,0.323,0
70.9,30.8,0.437,0
62.8,23.9,0.437,0
73.1,31.5,0.407,0
77.0,30.2,0.45,0
73.4,29.5,0.251,0
77.3,49.5,0.949,1
64.8,27.5,0.555,0
69.4,30.4,0.552,0
75.0,28.6,0.52,0
70.4,34.2,0.397,0
73.5,35.1,0.6,0
78.9,28.9,0.62,0
93.7,51.2,1.037,1
72.5,31.0,0.544,0
64.3,27.3,0.654,0
70.4,30.8,0.384,0
67.1,30.9,0.53,0
67.4,33.8,0.448,0
71.5,32.7,0.496,0
70.6,28.9,0.39,0
59.6,27.9,0.304,0
64.8,31.4,0.643,0
72.2,22.9,0.534,0
101.6,52.0,1.254,1
80.7,27.1,0.605,0
65.9,29.3,0.375,0
67.2,28.1,0.568,0
77.1,24.3,0.262,0
74.6,26.5,0.538,0
65.4,29.0,0.619,0
73.6,31.1,0.578,0
72.6,34.8,0.288,0
80.3,29.1,0.329,0
70.6,34.3,0.43,0
64.6,28.1,0.424,0
67.5,33.2,0.502,0
70.4,27.9,0.392,0
72.5,31.5,0.33,0
63.2,32.6,0.43,0
66.8,26.1,0.45,0
73.2,34.5,0.519,0
67.0,26.4,0.402,0
70.3,34.4,0.439,0
74.0,33.5,0.262,0
69.6,34.3,0.714,0
92.9,53.4,1.367,1
68.8,30.1,0.526,0
95.1,40.5,1.75,1
61.5,34.1,0.421,0
68.9,26.6,0.371,0
66.4,27.6,0.471,0
102.8,40.4,0.751,1
74.8,23.2,0.441,0
69.1,24.6,0.647,0
100.5,38.5,1.069,1
102.0,52.7,0.611,1
63.3,29.2,0.737,0
95.5,33.2,0.94,1
75.6,31.2,0.515,0
83.2,25.6,0.377,0
60.3,29.6,0.589,0
104.6,40.3,1.798,1
69.9,34.4,0.405,0
70.0,26.0,0.423,0
76.9,26.0,0.609,0
64.0,24.5,0.445,0
73.7,33.8,0.528,0
76.4,27.8,0.432,0
68.8,25.3,0.419,0
66.9,32.4,0.68,0
58.5,27.5,0.478,0
74.5,30.8,0.557,0
75.5,25.8,0.551,0
70.3,33.3,0.533,0
70.2,33.4,0.475,0
73.8,33.9,0.482,0
62.8,34.0,0.461,0
76.4,29.9,0.503,0
75.5,26.9,0.594,0
64.0,27.9,0.46,0
69.4,29.8,0.485,0
68.9,32.1,0.583,0
71.7,29.1,0.582,0
69.4,34.4,0.351,0
75.1,31.8,0.433,0
73.4,31.8,0.682,0
62.8,24.6,0.516,0
72.5,30.4,0.425,0
62.5,26.9,0.586,0
72.7,27.6,0.419,0
69.1,33.0,0.369,0
68.1,30.4,0.577,0
70.4,27.7,0.537,0
74.4,30.8,0.706,0
69.3,28.9,0.278,0
81.6,33.0,0.503,0
65.9,31.2,0.396,0
71.8,29.3,0.674,0
91.6,44.4,1.021,1
67.9,31.7,0.678,0
57.6,31.0,0.438,0
101.6,43.6,1.199,1
70.1,34.0,0.57,0
74.8,27.3,0.586,0
60.3,32.1,0.428,0
75.6,29.0,0.229,0
86.2,43.1,1.148,1
72.5,25.4,0.667,0
66.7,28.6,0.537,0
85.9,48.5,1.196,1
63.2,34.6,0.643,0
74.6,29.5,0.415,0
74.6,30.4,0.542,0
73.9,29.6,0.519,0
74.2,30.7,0.449,0
69.2,25.8,0.537,0
76.7,30.3,0.541,0
69.5,28.9,0.445,0
63.8,32.9,0.537,0
74.8,28.6,0.646,0
76.2,33.7,0.468,0
69.2,32.4,0.36,0
72.2,29.4,0.497,0
67.0,32.4,0.435,0
94.3,47.2,1.333,1
67.8,30.4,0.613,0
64.2,30.1,0.646,0
70.3,30.4,0.496,0
77.3,29.1,0.466,0
65.5,30.5,0.306,0
86.2,44.0,0.773,1
70.7,21.9,0.387,0
70.6,28.2,0.535,0
69.1,30.3,0.524,0
68.1,31.3,0.572,0
69.8,31.0,0.418,0
68.6,29.1,0.547,0
68.2,29.2,0.53,0
65.3,27.5,0.506,0
76.5,25.9,0.495,0
74.3,25.8,0.479,0
68.3,29.3,0.489,0
70.0,26.4,0.527,0
67.4,33.5,0.41,0
74.9,37.5,0.408,0
91.4,37.8,0.975,1
75.6,22.0,0.609,0
69.1,33.5,0.412,0
69.5,26.5,0.503,0
73.7,32.9,0.546,0
65.9,30.7,0.48,0
70.4,27.0,0.461,0
77.0,26.3,0.324,0
70.7,27.3,0.295,0
68.2,29.2,0.343,0
67.8,27.7,0.476,0
83.9,31.7,0.607,0
71.5,26.0,0.72,0
74.8,28.0,0.633,0
68.3,31.6,0.477,0
70.9,26.2,0.68,0
85.7,42.0,0.568,1
71.8,29.7,0.581,0
69.1,29.2,0.561,0
71.5,29.2,0.528,0
68.7,30.0,0.668,0
68.0,25.5,0.424,0
69.7,31.2,0.539,0
67.0,28.3,0.494,0
68.2,22.1,0.596,0
74.8,29.8,0.435,0
74.5,32.1,0.794,0
62.9,29.4,0.552,0
